sample_id,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,hyb_protocol,scan_protocol,description,data_processing,platform_id,contact_name,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,supplementary_file,series_id,data_row_count
GSM653015,Surrounding liver SL1,GSM653015,Public on Feb 25 2012,Jan 11 2011,Nov 15 2013,RNA,1,Surrounding liver SL1,Homo sapiens,9606,sample id: LEC1 | tissue: Surrounding liver,total RNA,Total RNA was extracted using Qiagen mini kit. Quality control and measurement were performed using NanoDrop and Agilent Bioanalyser.,biotin,Biotinylated cRNA were prepared using Ambion Totalprep RNA Amplification kit for Illumina arrays,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,matched,"Data was processed by means of  Genome Studio v2010 from illumina, Inc. The background noise was substrated and quantile normalization was applied.",GPL6104,"Jesper,B,Andersen",Andersen Group,Biotech Research and Innovation Centre,Copenhagen University,Ole Maaloes Vej 5,Copenhagen,2200,Denmark,NONE,GSE26566,22184
GSM653016,Surrounding liver SL2,GSM653016,Public on Feb 25 2012,Jan 11 2011,Nov 15 2013,RNA,1,Surrounding liver SL2,Homo sapiens,9606,sample id: LEC2 | tissue: Surrounding liver,total RNA,Total RNA was extracted using Qiagen mini kit. Quality control and measurement were performed using NanoDrop and Agilent Bioanalyser.,biotin,Biotinylated cRNA were prepared using Ambion Totalprep RNA Amplification kit for Illumina arrays,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,matched,"Data was processed by means of  Genome Studio v2010 from illumina, Inc. The background noise was substrated and quantile normalization was applied.",GPL6104,"Jesper,B,Andersen",Andersen Group,Biotech Research and Innovation Centre,Copenhagen University,Ole Maaloes Vej 5,Copenhagen,2200,Denmark,NONE,GSE26566,22184
GSM653017,Surrounding liver SL3,GSM653017,Public on Feb 25 2012,Jan 11 2011,Nov 15 2013,RNA,1,Surrounding liver SL3,Homo sapiens,9606,sample id: LEC3 | tissue: Surrounding liver,total RNA,Total RNA was extracted using Qiagen mini kit. Quality control and measurement were performed using NanoDrop and Agilent Bioanalyser.,biotin,Biotinylated cRNA were prepared using Ambion Totalprep RNA Amplification kit for Illumina arrays,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,matched,"Data was processed by means of  Genome Studio v2010 from illumina, Inc. The background noise was substrated and quantile normalization was applied.",GPL6104,"Jesper,B,Andersen",Andersen Group,Biotech Research and Innovation Centre,Copenhagen University,Ole Maaloes Vej 5,Copenhagen,2200,Denmark,NONE,GSE26566,22184
GSM653018,Surrounding liver SL4,GSM653018,Public on Feb 25 2012,Jan 11 2011,Nov 15 2013,RNA,1,Surrounding liver SL4,Homo sapiens,9606,sample id: LEC4 | tissue: Surrounding liver,total RNA,Total RNA was extracted using Qiagen mini kit. Quality control and measurement were performed using NanoDrop and Agilent Bioanalyser.,biotin,Biotinylated cRNA were prepared using Ambion Totalprep RNA Amplification kit for Illumina arrays,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,matched,"Data was processed by means of  Genome Studio v2010 from illumina, Inc. The background noise was substrated and quantile normalization was applied.",GPL6104,"Jesper,B,Andersen",Andersen Group,Biotech Research and Innovation Centre,Copenhagen University,Ole Maaloes Vej 5,Copenhagen,2200,Denmark,NONE,GSE26566,22184
GSM653019,Surrounding liver SL5,GSM653019,Public on Feb 25 2012,Jan 11 2011,Nov 15 2013,RNA,1,Surrounding liver SL5,Homo sapiens,9606,sample id: LEC5 | tissue: Surrounding liver,total RNA,Total RNA was extracted using Qiagen mini kit. Quality control and measurement were performed using NanoDrop and Agilent Bioanalyser.,biotin,Biotinylated cRNA were prepared using Ambion Totalprep RNA Amplification kit for Illumina arrays,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,matched,"Data was processed by means of  Genome Studio v2010 from illumina, Inc. The background noise was substrated and quantile normalization was applied.",GPL6104,"Jesper,B,Andersen",Andersen Group,Biotech Research and Innovation Centre,Copenhagen University,Ole Maaloes Vej 5,Copenhagen,2200,Denmark,NONE,GSE26566,22184
GSM653020,Surrounding liver SL6,GSM653020,Public on Feb 25 2012,Jan 11 2011,Nov 15 2013,RNA,1,Surrounding liver SL6,Homo sapiens,9606,sample id: LEC6 | tissue: Surrounding liver,total RNA,Total RNA was extracted using Qiagen mini kit. Quality control and measurement were performed using NanoDrop and Agilent Bioanalyser.,biotin,Biotinylated cRNA were prepared using Ambion Totalprep RNA Amplification kit for Illumina arrays,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,matched,"Data was processed by means of  Genome Studio v2010 from illumina, Inc. The background noise was substrated and quantile normalization was applied.",GPL6104,"Jesper,B,Andersen",Andersen Group,Biotech Research and Innovation Centre,Copenhagen University,Ole Maaloes Vej 5,Copenhagen,2200,Denmark,NONE,GSE26566,22184
GSM653021,Surrounding liver SL7,GSM653021,Public on Feb 25 2012,Jan 11 2011,Nov 15 2013,RNA,1,Surrounding liver SL7,Homo sapiens,9606,sample id: LEC7 | tissue: Surrounding liver,total RNA,Total RNA was extracted using Qiagen mini kit. Quality control and measurement were performed using NanoDrop and Agilent Bioanalyser.,biotin,Biotinylated cRNA were prepared using Ambion Totalprep RNA Amplification kit for Illumina arrays,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,matched,"Data was processed by means of  Genome Studio v2010 from illumina, Inc. The background noise was substrated and quantile normalization was applied.",GPL6104,"Jesper,B,Andersen",Andersen Group,Biotech Research and Innovation Centre,Copenhagen University,Ole Maaloes Vej 5,Copenhagen,2200,Denmark,NONE,GSE26566,22184
GSM653022,Surrounding liver SL8,GSM653022,Public on Feb 25 2012,Jan 11 2011,Nov 15 2013,RNA,1,Surrounding liver SL8,Homo sapiens,9606,sample id: LEC8 | tissue: Surrounding liver,total RNA,Total RNA was extracted using Qiagen mini kit. Quality control and measurement were performed using NanoDrop and Agilent Bioanalyser.,biotin,Biotinylated cRNA were prepared using Ambion Totalprep RNA Amplification kit for Illumina arrays,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,matched,"Data was processed by means of  Genome Studio v2010 from illumina, Inc. The background noise was substrated and quantile normalization was applied.",GPL6104,"Jesper,B,Andersen",Andersen Group,Biotech Research and Innovation Centre,Copenhagen University,Ole Maaloes Vej 5,Copenhagen,2200,Denmark,NONE,GSE26566,22184
GSM653023,Surrounding liver SL9,GSM653023,Public on Feb 25 2012,Jan 11 2011,Nov 15 2013,RNA,1,Surrounding liver SL9,Homo sapiens,9606,sample id: LEC9 | tissue: Surrounding liver,total RNA,Total RNA was extracted using Qiagen mini kit. Quality control and measurement were performed using NanoDrop and Agilent Bioanalyser.,biotin,Biotinylated cRNA were prepared using Ambion Totalprep RNA Amplification kit for Illumina arrays,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,matched,"Data was processed by means of  Genome Studio v2010 from illumina, Inc. The background noise was substrated and quantile normalization was applied.",GPL6104,"Jesper,B,Andersen",Andersen Group,Biotech Research and Innovation Centre,Copenhagen University,Ole Maaloes Vej 5,Copenhagen,2200,Denmark,NONE,GSE26566,22184
GSM653024,Surrounding liver SL10,GSM653024,Public on Feb 25 2012,Jan 11 2011,Nov 15 2013,RNA,1,Surrounding liver SL10,Homo sapiens,9606,sample id: LEC10 | tissue: Surrounding liver,total RNA,Total RNA was extracted using Qiagen mini kit. Quality control and measurement were performed using NanoDrop and Agilent Bioanalyser.,biotin,Biotinylated cRNA were prepared using Ambion Totalprep RNA Amplification kit for Illumina arrays,Standard Illumina hybridization protocol,Standard Illumina scanning protocol,matched,"Data was processed by means of  Genome Studio v2010 from illumina, Inc. The background noise was substrated and quantile normalization was applied.",GPL6104,"Jesper,B,Andersen",Andersen Group,Biotech Research and Innovation Centre,Copenhagen University,Ole Maaloes Vej 5,Copenhagen,2200,Denmark,NONE,GSE26566,22184
