sample_id,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,hyb_protocol,scan_protocol,description,data_processing,platform_id,contact_name,contact_department,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,supplementary_file,series_id,data_row_count,treatment_protocol_ch1,growth_protocol_ch1
GSM2387659,3998386026_K,GSM2387659,Public on Jul 03 2017,Nov 10 2016,Jul 03 2017,RNA,1,tumor,Homo sapiens,9606,tissue: bile duct,total RNA,"RNA was extracted from tumor tissue using RNeasy mini kit (Qiagen), quantified by measuring Abs260 with a UV spectrophotometer and the quality was assessed with the Agilent 2100 Bioanalyzer",biotin,Biotin-labeled cRNA were prepared using the Illumina TotalPrep RNA Amplification Kit (Ambion Inc.) from 250ng-500ng of total RNA,"750ng of biotin-labeled cRNA were hybridized on the Illumina HT-12 version 4 beadchip according to Manufacturerâ€™s instruction (Illumina, Inc., San Diego, CA)","Beadchips were washed and stained according to Manufacturerâ€™s instruction and scanned using Illumina BeadArray Reader (Illumina, Inc., San Diego, CA)",cholangiocarcinoma,"GenomeStudio v2011.1 + Gene Expression v1.9.0 (raw - noNormalization and noBackground, normalized - Quantile normalization and noBackground)",GPL10558,"Jing Quan,,Lim",CMR,National Cancer Centre Singapore,30 Hospital Boulevard,Singapore,168583,Singapore,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2387nnn/GSM2387659/suppl/GSM2387659_3998386026_K_Grn.idat.gz,GSE89747 | GSE89749,47274,,
GSM2387660,3998386026_L,GSM2387660,Public on Jul 03 2017,Nov 10 2016,Jul 03 2017,RNA,1,tumor,Homo sapiens,9606,tissue: bile duct,total RNA,"RNA was extracted from tumor tissue using RNeasy mini kit (Qiagen), quantified by measuring Abs260 with a UV spectrophotometer and the quality was assessed with the Agilent 2100 Bioanalyzer",biotin,Biotin-labeled cRNA were prepared using the Illumina TotalPrep RNA Amplification Kit (Ambion Inc.) from 250ng-500ng of total RNA,"750ng of biotin-labeled cRNA were hybridized on the Illumina HT-12 version 4 beadchip according to Manufacturerâ€™s instruction (Illumina, Inc., San Diego, CA)","Beadchips were washed and stained according to Manufacturerâ€™s instruction and scanned using Illumina BeadArray Reader (Illumina, Inc., San Diego, CA)",cholangiocarcinoma,"GenomeStudio v2011.1 + Gene Expression v1.9.0 (raw - noNormalization and noBackground, normalized - Quantile normalization and noBackground)",GPL10558,"Jing Quan,,Lim",CMR,National Cancer Centre Singapore,30 Hospital Boulevard,Singapore,168583,Singapore,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2387nnn/GSM2387660/suppl/GSM2387660_3998386026_L_Grn.idat.gz,GSE89747 | GSE89749,47274,,
GSM2387661,3998386024_A,GSM2387661,Public on Jul 03 2017,Nov 10 2016,Jul 03 2017,RNA,1,tumor,Homo sapiens,9606,tissue: bile duct,total RNA,"RNA was extracted from tumor tissue using RNeasy mini kit (Qiagen), quantified by measuring Abs260 with a UV spectrophotometer and the quality was assessed with the Agilent 2100 Bioanalyzer",biotin,Biotin-labeled cRNA were prepared using the Illumina TotalPrep RNA Amplification Kit (Ambion Inc.) from 250ng-500ng of total RNA,"750ng of biotin-labeled cRNA were hybridized on the Illumina HT-12 version 4 beadchip according to Manufacturerâ€™s instruction (Illumina, Inc., San Diego, CA)","Beadchips were washed and stained according to Manufacturerâ€™s instruction and scanned using Illumina BeadArray Reader (Illumina, Inc., San Diego, CA)",cholangiocarcinoma,"GenomeStudio v2011.1 + Gene Expression v1.9.0 (raw - noNormalization and noBackground, normalized - Quantile normalization and noBackground)",GPL10558,"Jing Quan,,Lim",CMR,National Cancer Centre Singapore,30 Hospital Boulevard,Singapore,168583,Singapore,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2387nnn/GSM2387661/suppl/GSM2387661_3998386024_A_Grn.idat.gz,GSE89747 | GSE89749,47274,,
GSM2387662,3998386024_B,GSM2387662,Public on Jul 03 2017,Nov 10 2016,Jul 03 2017,RNA,1,tumor,Homo sapiens,9606,tissue: bile duct,total RNA,"RNA was extracted from tumor tissue using RNeasy mini kit (Qiagen), quantified by measuring Abs260 with a UV spectrophotometer and the quality was assessed with the Agilent 2100 Bioanalyzer",biotin,Biotin-labeled cRNA were prepared using the Illumina TotalPrep RNA Amplification Kit (Ambion Inc.) from 250ng-500ng of total RNA,"750ng of biotin-labeled cRNA were hybridized on the Illumina HT-12 version 4 beadchip according to Manufacturerâ€™s instruction (Illumina, Inc., San Diego, CA)","Beadchips were washed and stained according to Manufacturerâ€™s instruction and scanned using Illumina BeadArray Reader (Illumina, Inc., San Diego, CA)",cholangiocarcinoma,"GenomeStudio v2011.1 + Gene Expression v1.9.0 (raw - noNormalization and noBackground, normalized - Quantile normalization and noBackground)",GPL10558,"Jing Quan,,Lim",CMR,National Cancer Centre Singapore,30 Hospital Boulevard,Singapore,168583,Singapore,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2387nnn/GSM2387662/suppl/GSM2387662_3998386024_B_Grn.idat.gz,GSE89747 | GSE89749,47274,,
GSM2387663,3998386024_C,GSM2387663,Public on Jul 03 2017,Nov 10 2016,Jul 03 2017,RNA,1,tumor,Homo sapiens,9606,tissue: bile duct,total RNA,"RNA was extracted from tumor tissue using RNeasy mini kit (Qiagen), quantified by measuring Abs260 with a UV spectrophotometer and the quality was assessed with the Agilent 2100 Bioanalyzer",biotin,Biotin-labeled cRNA were prepared using the Illumina TotalPrep RNA Amplification Kit (Ambion Inc.) from 250ng-500ng of total RNA,"750ng of biotin-labeled cRNA were hybridized on the Illumina HT-12 version 4 beadchip according to Manufacturerâ€™s instruction (Illumina, Inc., San Diego, CA)","Beadchips were washed and stained according to Manufacturerâ€™s instruction and scanned using Illumina BeadArray Reader (Illumina, Inc., San Diego, CA)",cholangiocarcinoma,"GenomeStudio v2011.1 + Gene Expression v1.9.0 (raw - noNormalization and noBackground, normalized - Quantile normalization and noBackground)",GPL10558,"Jing Quan,,Lim",CMR,National Cancer Centre Singapore,30 Hospital Boulevard,Singapore,168583,Singapore,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2387nnn/GSM2387663/suppl/GSM2387663_3998386024_C_Grn.idat.gz,GSE89747 | GSE89749,47274,,
GSM2387664,3998386024_D,GSM2387664,Public on Jul 03 2017,Nov 10 2016,Jul 03 2017,RNA,1,tumor,Homo sapiens,9606,tissue: bile duct,total RNA,"RNA was extracted from tumor tissue using RNeasy mini kit (Qiagen), quantified by measuring Abs260 with a UV spectrophotometer and the quality was assessed with the Agilent 2100 Bioanalyzer",biotin,Biotin-labeled cRNA were prepared using the Illumina TotalPrep RNA Amplification Kit (Ambion Inc.) from 250ng-500ng of total RNA,"750ng of biotin-labeled cRNA were hybridized on the Illumina HT-12 version 4 beadchip according to Manufacturerâ€™s instruction (Illumina, Inc., San Diego, CA)","Beadchips were washed and stained according to Manufacturerâ€™s instruction and scanned using Illumina BeadArray Reader (Illumina, Inc., San Diego, CA)",cholangiocarcinoma,"GenomeStudio v2011.1 + Gene Expression v1.9.0 (raw - noNormalization and noBackground, normalized - Quantile normalization and noBackground)",GPL10558,"Jing Quan,,Lim",CMR,National Cancer Centre Singapore,30 Hospital Boulevard,Singapore,168583,Singapore,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2387nnn/GSM2387664/suppl/GSM2387664_3998386024_D_Grn.idat.gz,GSE89747 | GSE89749,47274,,
GSM2387665,3998386024_E,GSM2387665,Public on Jul 03 2017,Nov 10 2016,Jul 03 2017,RNA,1,tumor,Homo sapiens,9606,tissue: bile duct,total RNA,"RNA was extracted from tumor tissue using RNeasy mini kit (Qiagen), quantified by measuring Abs260 with a UV spectrophotometer and the quality was assessed with the Agilent 2100 Bioanalyzer",biotin,Biotin-labeled cRNA were prepared using the Illumina TotalPrep RNA Amplification Kit (Ambion Inc.) from 250ng-500ng of total RNA,"750ng of biotin-labeled cRNA were hybridized on the Illumina HT-12 version 4 beadchip according to Manufacturerâ€™s instruction (Illumina, Inc., San Diego, CA)","Beadchips were washed and stained according to Manufacturerâ€™s instruction and scanned using Illumina BeadArray Reader (Illumina, Inc., San Diego, CA)",cholangiocarcinoma,"GenomeStudio v2011.1 + Gene Expression v1.9.0 (raw - noNormalization and noBackground, normalized - Quantile normalization and noBackground)",GPL10558,"Jing Quan,,Lim",CMR,National Cancer Centre Singapore,30 Hospital Boulevard,Singapore,168583,Singapore,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2387nnn/GSM2387665/suppl/GSM2387665_3998386024_E_Grn.idat.gz,GSE89747 | GSE89749,47274,,
GSM2387666,3998386024_F,GSM2387666,Public on Jul 03 2017,Nov 10 2016,Jul 03 2017,RNA,1,tumor,Homo sapiens,9606,tissue: bile duct,total RNA,"RNA was extracted from tumor tissue using RNeasy mini kit (Qiagen), quantified by measuring Abs260 with a UV spectrophotometer and the quality was assessed with the Agilent 2100 Bioanalyzer",biotin,Biotin-labeled cRNA were prepared using the Illumina TotalPrep RNA Amplification Kit (Ambion Inc.) from 250ng-500ng of total RNA,"750ng of biotin-labeled cRNA were hybridized on the Illumina HT-12 version 4 beadchip according to Manufacturerâ€™s instruction (Illumina, Inc., San Diego, CA)","Beadchips were washed and stained according to Manufacturerâ€™s instruction and scanned using Illumina BeadArray Reader (Illumina, Inc., San Diego, CA)",cholangiocarcinoma,"GenomeStudio v2011.1 + Gene Expression v1.9.0 (raw - noNormalization and noBackground, normalized - Quantile normalization and noBackground)",GPL10558,"Jing Quan,,Lim",CMR,National Cancer Centre Singapore,30 Hospital Boulevard,Singapore,168583,Singapore,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2387nnn/GSM2387666/suppl/GSM2387666_3998386024_F_Grn.idat.gz,GSE89747 | GSE89749,47274,,
GSM2387667,3998386024_G,GSM2387667,Public on Jul 03 2017,Nov 10 2016,Jul 03 2017,RNA,1,tumor,Homo sapiens,9606,tissue: bile duct,total RNA,"RNA was extracted from tumor tissue using RNeasy mini kit (Qiagen), quantified by measuring Abs260 with a UV spectrophotometer and the quality was assessed with the Agilent 2100 Bioanalyzer",biotin,Biotin-labeled cRNA were prepared using the Illumina TotalPrep RNA Amplification Kit (Ambion Inc.) from 250ng-500ng of total RNA,"750ng of biotin-labeled cRNA were hybridized on the Illumina HT-12 version 4 beadchip according to Manufacturerâ€™s instruction (Illumina, Inc., San Diego, CA)","Beadchips were washed and stained according to Manufacturerâ€™s instruction and scanned using Illumina BeadArray Reader (Illumina, Inc., San Diego, CA)",cholangiocarcinoma,"GenomeStudio v2011.1 + Gene Expression v1.9.0 (raw - noNormalization and noBackground, normalized - Quantile normalization and noBackground)",GPL10558,"Jing Quan,,Lim",CMR,National Cancer Centre Singapore,30 Hospital Boulevard,Singapore,168583,Singapore,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2387nnn/GSM2387667/suppl/GSM2387667_3998386024_G_Grn.idat.gz,GSE89747 | GSE89749,47274,,
GSM2387668,3998386024_H,GSM2387668,Public on Jul 03 2017,Nov 10 2016,Jul 03 2017,RNA,1,tumor,Homo sapiens,9606,tissue: bile duct,total RNA,"RNA was extracted from tumor tissue using RNeasy mini kit (Qiagen), quantified by measuring Abs260 with a UV spectrophotometer and the quality was assessed with the Agilent 2100 Bioanalyzer",biotin,Biotin-labeled cRNA were prepared using the Illumina TotalPrep RNA Amplification Kit (Ambion Inc.) from 250ng-500ng of total RNA,"750ng of biotin-labeled cRNA were hybridized on the Illumina HT-12 version 4 beadchip according to Manufacturerâ€™s instruction (Illumina, Inc., San Diego, CA)","Beadchips were washed and stained according to Manufacturerâ€™s instruction and scanned using Illumina BeadArray Reader (Illumina, Inc., San Diego, CA)",cholangiocarcinoma,"GenomeStudio v2011.1 + Gene Expression v1.9.0 (raw - noNormalization and noBackground, normalized - Quantile normalization and noBackground)",GPL10558,"Jing Quan,,Lim",CMR,National Cancer Centre Singapore,30 Hospital Boulevard,Singapore,168583,Singapore,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2387nnn/GSM2387668/suppl/GSM2387668_3998386024_H_Grn.idat.gz,GSE89747 | GSE89749,47274,,
