probe_id,gene_symbol,gene_name,entrez_id,ensembl_id
ILMN_1801608,KCNN3,"Homo sapiens potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3 (KCNN3), transcript variant 1, mRNA.",,
ILMN_1653709,TIMM9,"Homo sapiens translocase of inner mitochondrial membrane 9 homolog (yeast) (TIMM9), mRNA.",,
ILMN_1678730,NOMO1,"Homo sapiens NODAL modulator 1 (NOMO1), mRNA.",,
ILMN_1741287,TNP1,"Homo sapiens transition protein 1 (during histone to protamine replacement) (TNP1), mRNA.",,
ILMN_1770803,BNIP2,"Homo sapiens BCL2/adenovirus E1B 19kDa interacting protein 2 (BNIP2), mRNA.",,
ILMN_1670130,ARID3A,"Homo sapiens AT rich interactive domain 3A (BRIGHT-like) (ARID3A), mRNA.",,
ILMN_1670188,TNFSF12-TNFSF13,"Homo sapiens tumor necrosis factor (ligand) superfamily, member 12-member 13 (TNFSF12-TNFSF13), mRNA.",,
ILMN_1664630,CHEK1,"Homo sapiens CHK1 checkpoint homolog (S. pombe) (CHEK1), mRNA.",,
ILMN_1689233,EIF2B3,"Homo sapiens eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa (EIF2B3), mRNA.",,
ILMN_1810533,SLC6A15,"Homo sapiens solute carrier family 6, member 15 (SLC6A15), transcript variant 1, mRNA.",,
ILMN_1803649,C4ORF28,"Homo sapiens chromosome 4 open reading frame 28 (C4orf28), mRNA.",,
ILMN_1756777,HBEGF,"Homo sapiens heparin-binding EGF-like growth factor (HBEGF), mRNA.",,
ILMN_1806487,FAM109B,"Homo sapiens family with sequence similarity 109, member B (FAM109B), mRNA.",,
ILMN_1665657,C21ORF13,"Homo sapiens chromosome 21 open reading frame 13 (C21orf13), mRNA.",,
ILMN_1734897,SLC4A4,"Homo sapiens solute carrier family 4, sodium bicarbonate cotransporter, member 4 (SLC4A4), mRNA.",,
ILMN_1658713,TNFSF11,"Homo sapiens tumor necrosis factor (ligand) superfamily, member 11 (TNFSF11), transcript variant 2, mRNA.",,
ILMN_1662791,C10ORF68,"Homo sapiens chromosome 10 open reading frame 68 (C10orf68), mRNA.",,
ILMN_1726426,PHF2,"Homo sapiens PHD finger protein 2 (PHF2), mRNA.",,
ILMN_1720476,PHF2,"Homo sapiens PHD finger protein 2 (PHF2), mRNA.",,
ILMN_1653767,RNF6,"Homo sapiens ring finger protein (C3H2C3 type) 6 (RNF6), transcript variant 4, mRNA.",,
ILMN_1774110,CHN2,"Homo sapiens chimerin (chimaerin) 2 (CHN2), transcript variant 1, mRNA.",,
ILMN_1708151,LAGE3,"Homo sapiens L antigen family, member 3 (LAGE3), mRNA.",,
ILMN_1765085,CGI-09,"Homo sapiens CGI-09 protein (CGI-09), mRNA.",,
ILMN_1668683,MLL,"Homo sapiens myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila) (MLL), mRNA.",,
ILMN_1671427,FBXW4,"Homo sapiens F-box and WD repeat domain containing 4 (FBXW4), mRNA.",,
ILMN_1667306,RANBP10,"Homo sapiens RAN binding protein 10 (RANBP10), mRNA.",,
ILMN_1663616,DNAJC7,"Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 7 (DNAJC7), mRNA.",,
ILMN_1666932,FCGR2A,"Homo sapiens Fc fragment of IgG, low affinity IIa, receptor (CD32) (FCGR2A), mRNA.",,
ILMN_1669268,RKHD1,"Homo sapiens ring finger and KH domain containing 1 (RKHD1), mRNA.",,
ILMN_1714956,PLA2G12A,"Homo sapiens phospholipase A2, group XIIA (PLA2G12A), mRNA.",,
ILMN_1813027,TRIM41,"Homo sapiens tripartite motif-containing 41 (TRIM41), transcript variant 1, mRNA.",,
ILMN_1704019,OGFOD2,"Homo sapiens 2-oxoglutarate and iron-dependent oxygenase domain containing 2 (OGFOD2), mRNA.",,
ILMN_1682738,SMAD3,"Homo sapiens SMAD family member 3 (SMAD3), mRNA.",,
ILMN_1751149,BACH1,"Homo sapiens BTB and CNC homology 1, basic leucine zipper transcription factor 1 (BACH1), transcript variant 3, mRNA.",,
ILMN_1807181,BACH1,"Homo sapiens BTB and CNC homology 1, basic leucine zipper transcription factor 1 (BACH1), transcript variant 3, mRNA.",,
ILMN_1731432,P2RX3,"Homo sapiens purinergic receptor P2X, ligand-gated ion channel, 3 (P2RX3), mRNA.",,
ILMN_1688101,BTNL2,"Homo sapiens butyrophilin-like 2 (MHC class II associated) (BTNL2), mRNA.",,
ILMN_1772882,OR2T1,"Homo sapiens olfactory receptor, family 2, subfamily T, member 1 (OR2T1), mRNA.",,
ILMN_1815649,FLJ25680,"Homo sapiens hypothetical protein FLJ25680 (FLJ25680), mRNA.",,
ILMN_1683678,DNAPTP6,"Homo sapiens DNA polymerase-transactivated protein 6 (DNAPTP6), mRNA.",,
ILMN_1797031,HSPBAP1,"Homo sapiens HSPB (heat shock 27kDa) associated protein 1 (HSPBAP1), mRNA.",,
ILMN_1702034,PEX3,"Homo sapiens peroxisomal biogenesis factor 3 (PEX3), mRNA.",,
ILMN_1767142,SUHW4,"Homo sapiens suppressor of hairy wing homolog 4 (Drosophila) (SUHW4), transcript variant 3, mRNA.",,
ILMN_1736555,SUHW4,"Homo sapiens suppressor of hairy wing homolog 4 (Drosophila) (SUHW4), transcript variant 3, mRNA.",,
ILMN_1696294,SNX6,"Homo sapiens sorting nexin 6 (SNX6), transcript variant 1, mRNA.",,
ILMN_1664176,FBLN5,"Homo sapiens fibulin 5 (FBLN5), mRNA.",,
ILMN_1762294,ADAMTSL4,"Homo sapiens ADAMTS-like 4 (ADAMTSL4), transcript variant 2, mRNA.",,
ILMN_1689110,NOB1,"Homo sapiens NIN1/RPN12 binding protein 1 homolog (S. cerevisiae) (NOB1), mRNA.",,
ILMN_1701947,GPR34,"Homo sapiens G protein-coupled receptor 34 (GPR34), transcript variant 3, mRNA.",,
ILMN_1662470,C10ORF35,"Homo sapiens chromosome 10 open reading frame 35 (C10orf35), mRNA.",,
ILMN_1683580,NRG2,"Homo sapiens neuregulin 2 (NRG2), transcript variant 2, mRNA.",,
ILMN_1796431,GPR101,"Homo sapiens G protein-coupled receptor 101 (GPR101), mRNA.",,
ILMN_1804421,AREG,"Homo sapiens amphiregulin (schwannoma-derived growth factor) (AREG), mRNA.",,
ILMN_1750563,CEECAM1,"Homo sapiens cerebral endothelial cell adhesion molecule 1 (CEECAM1), mRNA.",,
ILMN_1801456,CROP,"Homo sapiens cisplatin resistance-associated overexpressed protein (CROP), transcript variant 2, mRNA.",,
ILMN_1656300,GFRA2,"Homo sapiens GDNF family receptor alpha 2 (GFRA2), mRNA.",,
ILMN_1756811,C1ORF103,"Homo sapiens chromosome 1 open reading frame 103 (C1orf103), transcript variant 1, mRNA.",,
ILMN_1812548,FAM112A,"Homo sapiens family with sequence similarity 112, member A (FAM112A), transcript variant 2, mRNA.",,
ILMN_1755059,ANGPTL5,"Homo sapiens angiopoietin-like 5 (ANGPTL5), mRNA.",,
ILMN_1759985,FLJ10292,"Homo sapiens mago-nashi homolog 2 (FLJ10292), mRNA.",,
ILMN_1762888,FAM119A,"Homo sapiens family with sequence similarity 119, member A (FAM119A), mRNA.",,
