probe_id,gene_symbol,gene_name,entrez_id,ensembl_id
ILMN_2402640,DSC1,"Homo sapiens desmocollin 1 (DSC1), transcript variant Dsc1b, mRNA.",,
ILMN_2223941,FBLN5,"Homo sapiens fibulin 5 (FBLN5), mRNA.",,
ILMN_2399503,UBN1,"Homo sapiens ubinuclein 1 (UBN1), transcript variant 2, mRNA.",,
ILMN_2290089,UBN1,"Homo sapiens ubinuclein 1 (UBN1), transcript variant 2, mRNA.",,
ILMN_1762294,ADAMTSL4,"Homo sapiens ADAMTS-like 4 (ADAMTSL4), transcript variant 2, mRNA.",,
ILMN_1687035,ADAMTSL4,"Homo sapiens ADAMTS-like 4 (ADAMTSL4), transcript variant 2, mRNA.",,
ILMN_2174296,DNAJC2,"Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 2 (DNAJC2), transcript variant 1, mRNA.",,
ILMN_1689110,NOB1,"Homo sapiens NIN1/RPN12 binding protein 1 homolog (S. cerevisiae) (NOB1), mRNA.",,
ILMN_1685176,SGMS2,"Homo sapiens sphingomyelin synthase 2 (SGMS2), mRNA.",,
ILMN_1697634,FLJ35894,"PREDICTED: Homo sapiens hypothetical protein FLJ35894 (FLJ35894), mRNA.",,
ILMN_1796431,GPR101,"Homo sapiens G protein-coupled receptor 101 (GPR101), mRNA.",,
ILMN_1804421,AREG,"Homo sapiens amphiregulin (AREG), mRNA.",,
ILMN_1750563,CERCAM,"Homo sapiens cerebral endothelial cell adhesion molecule (CERCAM), mRNA.",,
ILMN_2299072,CROP,"Homo sapiens cisplatin resistance-associated overexpressed protein (CROP), transcript variant 2, mRNA.",,
ILMN_1758315,SLC9A9,"Homo sapiens solute carrier family 9 (sodium/hydrogen exchanger), member 9 (SLC9A9), mRNA.",,
ILMN_1656300,GFRA2,"Homo sapiens GDNF family receptor alpha 2 (GFRA2), mRNA.",,
ILMN_1793508,C7ORF36,"Homo sapiens chromosome 7 open reading frame 36 (C7orf36), mRNA.",,
ILMN_2166696,ANGPTL5,"Homo sapiens angiopoietin-like 5 (ANGPTL5), mRNA.",,
ILMN_1681234,TNRC4,"Homo sapiens trinucleotide repeat containing 4 (TNRC4), mRNA.",,
ILMN_2049364,FAM119A,"Homo sapiens family with sequence similarity 119, member A (FAM119A), mRNA.",,
ILMN_1700611,CDK10,"Homo sapiens cyclin-dependent kinase (CDC2-like) 10 (CDK10), transcript variant 1, mRNA.",,
ILMN_1705066,BTBD11,"Homo sapiens BTB (POZ) domain containing 11 (BTBD11), transcript variant 1, mRNA.",,
ILMN_1654153,BTBD11,"Homo sapiens BTB (POZ) domain containing 11 (BTBD11), transcript variant 1, mRNA.",,
ILMN_1790026,SFRP5,"Homo sapiens secreted frizzled-related protein 5 (SFRP5), mRNA.",,
ILMN_1710329,MYEF2,"Homo sapiens myelin expression factor 2 (MYEF2), mRNA.",,
ILMN_1685629,KIR2DL5B,"Homo sapiens killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5B (KIR2DL5B), mRNA.",,
ILMN_1813671,SLC25A1,"Homo sapiens solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1 (SLC25A1), nuclear gene encoding mitochondrial protein, mRNA.",,
ILMN_2187718,COX17,"Homo sapiens COX17 cytochrome c oxidase assembly homolog (S. cerevisiae) (COX17), nuclear gene encoding mitochondrial protein, mRNA.",,
ILMN_1700633,ABHD4,"Homo sapiens abhydrolase domain containing 4 (ABHD4), mRNA.",,
ILMN_1750008,SUPV3L1,"Homo sapiens suppressor of var1, 3-like 1 (S. cerevisiae) (SUPV3L1), mRNA.",,
ILMN_1782129,ZBED4,"Homo sapiens zinc finger, BED-type containing 4 (ZBED4), mRNA.",,
ILMN_1734794,AKAP4,"Homo sapiens A kinase (PRKA) anchor protein 4 (AKAP4), transcript variant 2, mRNA.",,
ILMN_2253207,AKAP4,"Homo sapiens A kinase (PRKA) anchor protein 4 (AKAP4), transcript variant 2, mRNA.",,
ILMN_2332691,CAPN3,"Homo sapiens calpain 3, (p94) (CAPN3), transcript variant 3, mRNA.",,
ILMN_1752229,TIMM50,"Homo sapiens translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae) (TIMM50), nuclear gene encoding mitochondrial protein, mRNA.",,
ILMN_1694731,CLCN7,"Homo sapiens chloride channel 7 (CLCN7), mRNA.",,
ILMN_1806304,ENTPD4,"Homo sapiens ectonucleoside triphosphate diphosphohydrolase 4 (ENTPD4), mRNA.",,
ILMN_1736828,CHST10,"Homo sapiens carbohydrate sulfotransferase 10 (CHST10), mRNA.",,
ILMN_1770663,KRT24,"Homo sapiens keratin 24 (KRT24), mRNA.",,
ILMN_1682864,SPSB3,"Homo sapiens splA/ryanodine receptor domain and SOCS box containing 3 (SPSB3), mRNA.",,
ILMN_1752622,PROX1,"Homo sapiens prospero homeobox 1 (PROX1), mRNA.",,
ILMN_2156786,PGGT1B,"Homo sapiens protein geranylgeranyltransferase type I, beta subunit (PGGT1B), mRNA.",,
ILMN_1660806,CSRP2,"Homo sapiens cysteine and glycine-rich protein 2 (CSRP2), mRNA.",,
ILMN_1680856,MAMLD1,"Homo sapiens mastermind-like domain containing 1 (MAMLD1), mRNA.",,
ILMN_1738395,TPD52L3,"Homo sapiens tumor protein D52-like 3 (TPD52L3), transcript variant 2, mRNA.",,
ILMN_1696867,TPD52L3,"Homo sapiens tumor protein D52-like 3 (TPD52L3), transcript variant 2, mRNA.",,
ILMN_1691884,STC2,"Homo sapiens stanniocalcin 2 (STC2), mRNA.",,
ILMN_2364535,SNUPN,"Homo sapiens snurportin 1 (SNUPN), transcript variant 2, mRNA.",,
ILMN_2413650,STIL,"Homo sapiens SCL/TAL1 interrupting locus (STIL), transcript variant 2, mRNA.",,
ILMN_1662470,C10ORF35,"Homo sapiens chromosome 10 open reading frame 35 (C10orf35), mRNA.",,
ILMN_1726225,SERPINI2,"Homo sapiens serpin peptidase inhibitor, clade I (pancpin), member 2 (SERPINI2), mRNA.",,
ILMN_2317446,CXORF48,"Homo sapiens chromosome X open reading frame 48 (CXorf48), transcript variant 1, mRNA.",,
ILMN_2142255,LOC401398,"Homo sapiens hypothetical protein LOC401398 (LOC401398), mRNA.",,
ILMN_1804339,CAMK1G,"Homo sapiens calcium/calmodulin-dependent protein kinase IG (CAMK1G), mRNA.",,
ILMN_1746378,GHDC,"Homo sapiens GH3 domain containing (GHDC), mRNA.",,
ILMN_1685547,ZXDB,"Homo sapiens zinc finger, X-linked, duplicated B (ZXDB), mRNA.",,
ILMN_1813796,TMEM169,"Homo sapiens transmembrane protein 169 (TMEM169), mRNA.",,
ILMN_1758825,ABLIM2,"Homo sapiens actin binding LIM protein family, member 2 (ABLIM2), mRNA.",,
ILMN_1770811,PELO,"Homo sapiens pelota homolog (Drosophila) (PELO), mRNA.",,
ILMN_1658074,ZCCHC13,"Homo sapiens zinc finger, CCHC domain containing 13 (ZCCHC13), mRNA.",,
ILMN_1792571,ARHGEF15,"Homo sapiens Rho guanine nucleotide exchange factor (GEF) 15 (ARHGEF15), mRNA.",,
ILMN_2114190,C14ORF166B,"Homo sapiens chromosome 14 open reading frame 166B (C14orf166B), mRNA.",,
ILMN_2081398,KIF3B,"Homo sapiens kinesin family member 3B (KIF3B), mRNA.",,
ILMN_1760922,GIT2,"Homo sapiens G protein-coupled receptor kinase interactor 2 (GIT2), transcript variant 3, mRNA.",,
ILMN_2355776,GIT2,"Homo sapiens G protein-coupled receptor kinase interactor 2 (GIT2), transcript variant 3, mRNA.",,
ILMN_1761348,ZNF530,"Homo sapiens zinc finger protein 530 (ZNF530), mRNA.",,
ILMN_2234710,C12ORF60,"Homo sapiens chromosome 12 open reading frame 60 (C12orf60), mRNA.",,
ILMN_1749011,NECAP2,"Homo sapiens NECAP endocytosis associated 2 (NECAP2), mRNA.",,
ILMN_1683096,ASB1,"Homo sapiens ankyrin repeat and SOCS box-containing 1 (ASB1), mRNA.",,
ILMN_2214197,TP53INP1,"Homo sapiens tumor protein p53 inducible nuclear protein 1 (TP53INP1), mRNA.",,
ILMN_2388965,GEFT,"Homo sapiens RAC/CDC42 exchange factor (GEFT), transcript variant 1, mRNA.",,
ILMN_1780663,KLHL30,"Homo sapiens kelch-like 30 (Drosophila) (KLHL30), mRNA.",,
ILMN_1665887,WDR61,"Homo sapiens WD repeat domain 61 (WDR61), mRNA.",,
ILMN_2405797,REPS2,"Homo sapiens RALBP1 associated Eps domain containing 2 (REPS2), transcript variant 2, mRNA.",,
ILMN_2057836,RNU2-1,"Homo sapiens RNA, U2 small nuclear 1 (RNU2-1), non-coding RNA.",,
ILMN_1797975,CXCR3,"Homo sapiens chemokine (C-X-C motif) receptor 3 (CXCR3), mRNA.",,
ILMN_2147993,ZNF23,"Homo sapiens zinc finger protein 23 (KOX 16) (ZNF23), mRNA.",,
ILMN_1758750,EARS2,"Homo sapiens glutamyl-tRNA synthetase 2, mitochondrial (putative) (EARS2), transcript variant 2, transcribed RNA.",,
ILMN_1670238,CDC45L,"Homo sapiens CDC45 cell division cycle 45-like (S. cerevisiae) (CDC45L), mRNA.",,
ILMN_2154053,FVT1,"Homo sapiens follicular lymphoma variant translocation 1 (FVT1), mRNA.",,
ILMN_1733221,C9ORF164,"Homo sapiens chromosome 9 open reading frame 164 (C9orf164), mRNA.",,
ILMN_1808011,FAM46B,"Homo sapiens family with sequence similarity 46, member B (FAM46B), mRNA.",,
ILMN_2079225,LOC650293,"Homo sapiens seven transmembrane helix receptor (LOC650293), mRNA.",,
ILMN_2127007,TRPC2,"Homo sapiens transient receptor potential cation channel, subfamily C, member 2 (pseudogene) (TRPC2), non-coding RNA.",,
ILMN_2184109,SLC34A2,"Homo sapiens solute carrier family 34 (sodium phosphate), member 2 (SLC34A2), mRNA.",,
ILMN_1660541,PCNXL2,"Homo sapiens pecanex-like 2 (Drosophila) (PCNXL2), transcript variant 2, mRNA.",,
ILMN_2085760,ARPC1B,"Homo sapiens actin related protein 2/3 complex, subunit 1B, 41kDa (ARPC1B), mRNA.",,
ILMN_1653496,GLUL,"Homo sapiens glutamate-ammonia ligase (glutamine synthetase) (GLUL), transcript variant 3, mRNA.",,
ILMN_1765208,GLUL,"Homo sapiens glutamate-ammonia ligase (glutamine synthetase) (GLUL), transcript variant 3, mRNA.",,
ILMN_1656913,MDH1,"Homo sapiens malate dehydrogenase 1, NAD (soluble) (MDH1), mRNA.",,
ILMN_1790461,C6ORF125,"Homo sapiens chromosome 6 open reading frame 125 (C6orf125), mRNA.",,
ILMN_2194106,TSPAN12,"Homo sapiens tetraspanin 12 (TSPAN12), mRNA.",,
ILMN_2178771,DMRTC2,"Homo sapiens DMRT-like family C2 (DMRTC2), mRNA.",,
ILMN_1656837,RBP1,"Homo sapiens retinol binding protein 1, cellular (RBP1), mRNA.",,
ILMN_1656196,E2F6,"Homo sapiens E2F transcription factor 6 (E2F6), mRNA.",,
ILMN_2403542,CATSPER2,"Homo sapiens cation channel, sperm associated 2 (CATSPER2), transcript variant 1, mRNA.",,
ILMN_2383727,ATG4C,"Homo sapiens ATG4 autophagy related 4 homolog C (S. cerevisiae) (ATG4C), transcript variant 7, mRNA.",,
ILMN_2182531,C18ORF55,"Homo sapiens chromosome 18 open reading frame 55 (C18orf55), mRNA.",,
ILMN_1748147,MTO1,"Homo sapiens mitochondrial translation optimization 1 homolog (S. cerevisiae) (MTO1), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.",,
ILMN_1673605,PRSSL1,"Homo sapiens protease, serine-like 1 (PRSSL1), mRNA.",,
ILMN_2378952,GPX4,"Homo sapiens glutathione peroxidase 4 (phospholipid hydroperoxidase) (GPX4), transcript variant 2, mRNA.",,
ILMN_1734353,GPX4,"Homo sapiens glutathione peroxidase 4 (phospholipid hydroperoxidase) (GPX4), transcript variant 2, mRNA.",,
ILMN_2285708,C6ORF48,"Homo sapiens chromosome 6 open reading frame 48 (C6orf48), transcript variant 1, mRNA.",,
ILMN_2391765,C6ORF48,"Homo sapiens chromosome 6 open reading frame 48 (C6orf48), transcript variant 1, mRNA.",,
ILMN_2408968,UEVLD,"Homo sapiens UEV and lactate/malate dehyrogenase domains (UEVLD), transcript variant 1, mRNA.",,
ILMN_1734827,MKI67,"Homo sapiens antigen identified by monoclonal antibody Ki-67 (MKI67), mRNA.",,
ILMN_1657627,CBFA2T3,"Homo sapiens core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (CBFA2T3), transcript variant 1, mRNA.",,
ILMN_2204467,LIPK,"Homo sapiens lipase, family member K (LIPK), mRNA.",,
ILMN_1712141,LIPK,"Homo sapiens lipase, family member K (LIPK), mRNA.",,
ILMN_1815118,ZNF554,"Homo sapiens zinc finger protein 554 (ZNF554), mRNA.",,
ILMN_1781638,HDDC3,"Homo sapiens HD domain containing 3 (HDDC3), mRNA.",,
ILMN_2097997,IFNE1,"Homo sapiens interferon epsilon 1 (IFNE1), mRNA.",,
ILMN_2143011,DLEU2L,"Homo sapiens deleted in lymphocytic leukemia 2-like (DLEU2L), non-coding RNA.",,
ILMN_1743784,SHMT1,"Homo sapiens serine hydroxymethyltransferase 1 (soluble) (SHMT1), transcript variant 1, mRNA.",,
ILMN_1811933,SHMT1,"Homo sapiens serine hydroxymethyltransferase 1 (soluble) (SHMT1), transcript variant 1, mRNA.",,
ILMN_1674285,LOC401233,"Homo sapiens similar to HIV TAT specific factor 1; cofactor required for Tat activation of HIV-1 transcription (LOC401233), mRNA.",,
ILMN_1705337,SPATA21,"Homo sapiens spermatogenesis associated 21 (SPATA21), mRNA.",,
ILMN_2333219,ACHE,"Homo sapiens acetylcholinesterase (Yt blood group) (ACHE), transcript variant E4-E6, mRNA.",,
ILMN_2176755,LOC653319,"Homo sapiens hypothetical protein LOC653319 (LOC653319), mRNA. XM_933435 XM_933438 XM_933442 XM_933445 XM_933447 XM_941971 XM_945589 XM_945591 XM_945592 XM_945593 XM_945594 XM_945596 XM_945598 XM_945599 XM_945600",,
ILMN_1788160,KIF5B,"Homo sapiens kinesin family member 5B (KIF5B), mRNA.",,
ILMN_1658695,NUF2,"Homo sapiens NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae) (NUF2), transcript variant 2, mRNA.",,
