gene_name,hazard_ratio,hr_lower_95,hr_upper_95,coef,p_value
ITIH4,1.6816984428521513,0.9342224190869269,3.0272337667248834,0.5198042606093789,0.08307684698204389
PACC1,1.579747578644679,0.8859693476236521,2.8168044627361364,0.4572650739243621,0.1212248824889001
LPAR2,0.772621141320015,0.483211040310765,1.2353679411603127,-0.25796646526203715,0.28135573821854953
MTHFD2,0.7674485073906059,0.4711849799705316,1.249991482183715,-0.2646838931192547,0.2875797415384307
PON1,1.2651370993922655,0.7929115979973335,2.018600666582831,0.23518049527312546,0.3238575952582265
MED17,0.8047120969723275,0.5202143610654127,1.2447975440112369,-0.21727070904590415,0.32898608848235905
DGAT2,1.2941573957942798,0.7617520983084115,2.1986724668147044,0.2578598237623494,0.34029212187597535
CDH3,0.7029116488737107,0.3339218679582423,1.4796418969007001,-0.35252407234731714,0.353267051742007
SPA17,1.1450048772096104,0.7353888754888437,1.7827794416420761,0.1354088965688432,0.5489010892048489
OSBPL3,0.8715758715066106,0.5318002174098263,1.428439618720757,-0.13745235928405622,0.5855411203397759
MCM10,1.172116103346029,0.6569112117956742,2.0913878999988866,0.158810750536699,0.5908726396119526
JADE2,0.8789020087995486,0.543388070011396,1.4215783961831947,-0.12908186783041006,0.5987886738876496
OTC,0.8787014075042889,0.5238493197269217,1.4739279683564657,-0.1293101346786306,0.6241406190511242
SPDL1,1.1336846158805838,0.6786042827737271,1.8939473871738821,0.12547305011657056,0.6317936764086634
DEPDC1B,0.888591078428427,0.5449085297043684,1.4490397224851237,-0.11811812856176007,0.6359196816973657
RAD51,1.1042733376224614,0.6709932923286694,1.817335013814934,0.09918750563608993,0.6963698410588411
POLQ,1.0842927494281178,0.688105582895342,1.7085906519104712,0.08092793060480294,0.7272358369699374
USH2A,1.0730217233894683,0.6432427252657805,1.789955134572209,0.07047870891377225,0.7872000457526959
ITIH1,0.943464037592483,0.5769719780107175,1.5427515098727647,-0.058197030859176276,0.8165779582732189
MCF2L2,1.0273747678892058,0.5778211543194106,1.8266879047352012,0.027006779560433344,0.9267166350443948
