sample_id,phenotype,disease,tissue,subtype,matched_column,matched_keyword,confidence
GSM798481,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798482,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798483,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798484,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798485,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798486,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798487,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798488,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798489,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798490,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798491,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798492,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798493,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798494,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798495,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798496,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798497,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798498,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798499,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798500,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798501,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798502,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798503,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798504,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798505,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798506,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798507,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798508,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798509,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798510,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798511,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798512,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798513,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798514,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798515,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798516,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798517,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798518,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798519,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798520,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798521,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798522,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798523,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798524,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798525,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798526,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798527,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798528,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798529,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798530,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798531,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798532,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798533,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798534,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798535,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798536,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798537,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798538,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798539,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798540,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798541,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798542,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798543,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798544,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798545,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798546,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798547,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798548,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798549,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798550,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798551,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798552,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798553,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798554,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798555,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798556,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798557,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798558,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798559,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798560,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798561,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798562,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798563,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798564,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798565,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798566,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798567,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798568,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798569,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798570,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798571,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798572,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798573,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798574,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798575,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798576,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798577,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798578,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798579,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798580,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798581,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798582,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798583,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798584,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798585,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798586,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798587,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798588,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798589,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798590,Tumor,Cholangiocarcinoma,Liver,Inflammation,source_name_ch1,cholangiocarcinoma,0.95
GSM798591,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
GSM798592,Tumor,Cholangiocarcinoma,Liver,Proliferation,source_name_ch1,cholangiocarcinoma,0.95
