sample_id,phenotype,disease,tissue,subtype,matched_column,matched_keyword,confidence
GSM2387739,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387740,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387741,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387742,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387743,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387744,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387745,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387746,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387747,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387748,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387749,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387750,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387751,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387752,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387753,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387754,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387755,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387756,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387757,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387758,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387759,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387760,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387761,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387762,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387763,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387764,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387765,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387766,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387767,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387768,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
