sample_id,phenotype,disease,tissue,subtype,matched_column,matched_keyword,confidence
GSM2387649,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387650,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387651,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387652,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387653,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387654,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387655,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387656,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387657,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387658,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387659,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387660,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387661,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387662,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387663,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387664,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387665,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387666,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387667,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387668,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387669,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387670,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387671,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387672,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387673,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387674,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387675,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387676,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387677,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387678,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387679,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387680,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387681,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387682,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387683,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387684,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387685,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387686,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387687,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387688,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387689,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387690,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387691,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387692,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387693,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387694,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387695,Normal,Healthy,Bile Duct,NA,description,normal,0.95
GSM2387696,Normal,Healthy,Bile Duct,NA,description,normal,0.95
GSM2387697,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387698,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387699,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387700,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387701,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387702,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387703,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387704,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387705,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387706,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387707,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387708,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387709,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387710,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387711,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387712,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387713,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387714,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387715,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387716,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387717,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387718,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387719,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387720,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387721,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387722,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387723,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387724,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387725,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387726,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387727,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387728,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387729,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387730,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387731,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387732,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387733,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387734,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387735,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387736,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387737,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
GSM2387738,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,description,cholangiocarcinoma,0.95
