gene_name
USH2A
ITIH1
DGAT2
OTC
JADE2
MTHFD2
PON1
RAD51
MCF2L2
SPDL1
POLQ
MCM10
PACC1
MED17
DEPDC1B
OSBPL3
ITIH4
LPAR2
SPA17
CDH3
