gene_name
DENND6B
AC008691.1
POLR2M
AL161668.4
FBXL19-AS1
CCNQ
BNIP3P11
AC069544.1
AC012360.3
AC102953.2
NOL12
PPP4R3B
AC087741.2
AP003419.3
AC002550.2
AC092117.1
AC007996.1
AC005332.6
AL136295.7
AC122688.3
