input_gene,approved_symbol,entrez_id,ensembl_id,aliases
TULP3,TULP3,7289,,
PRANCR,PRANCR,101928062,,
ZNF2,ZNF2,7549,,
ZFC3H1,ZFC3H1,196441,,
DPM1,DPM1,8813,,
UPF2,UPF2,26019,,
ZNF638,ZNF638,27332,,
TRIM56,TRIM56,81844,,
