gene_name
CDH3
DEPDC1B
DGAT2
ITIH1
ITIH4
JADE2
LPAR2
MCF2L2
MCM10
MED17
MTHFD2
OSBPL3
OTC
PACC1
POLQ
PON1
RAD51
SPA17
SPDL1
USH2A
