sample_id,phenotype,final_label,disease,tissue,subtype,confidence,matched_column,matched_keyword,annotation_status,OTC,USH2A,OSBPL3,RAD51,POLQ,MCF2L2,ITIH4,ITIH1,CDH3,DGAT2,PON1,SPA17,DEPDC1B,MCM10,MTHFD2
GSM798481,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,199.41067196243463,104.78093433506189,151.82763137889833,2978.8522058684453,255.3358837849817,280.0528656822446,103.91669560432052,129.38702669536607,73.58292854262814,57.72333470983636,693.9692097847341,124.99679256502868,46.74620432473869,188.16485085109167,943.7525069494684
GSM798482,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,454.3235713950189,100.4759638202779,170.6476727429897,2571.7018664755874,250.4722077336554,187.58757857661763,60.36087365781015,146.76260546049176,111.6302378958898,51.69656263239635,668.067712868324,181.29975244651425,49.64826633945623,243.8581958670921,663.4516009428316
GSM798483,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,582.3418460870694,146.89523308736602,161.77674570364098,3460.6820936056083,318.6797557019707,271.5577751479483,64.83873771112708,127.61675002572672,65.48287235260716,75.54136175740723,949.2902973274302,169.44901586537557,53.37472935810643,306.1902109901124,841.09842330111
GSM798484,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,138.77787267881442,189.45680988065857,241.93270003810773,3134.069139554966,261.52448805541053,228.6503813063169,75.28147545562814,228.3983095350806,140.59345287338843,79.35020154627806,690.7144636811784,191.28219314313685,45.39180361361058,287.4919956048432,427.807276362176
GSM798485,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,904.9950269856744,105.14724869300636,165.25176704513518,4291.485029316802,286.5450442673263,246.58098027024093,28.4472747578289,131.54405509183022,93.10724979430267,68.81396065117423,475.155377718214,127.10872748851192,102.74987900940508,240.5659150274958,410.2636947369703
GSM798486,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,835.9003677572898,100.40059032391974,178.32450861419304,4167.09359228725,286.47270009243704,231.864237543454,41.89980440345074,151.55200415425014,57.215414364964616,63.427671367361874,617.5996053397303,159.6724812802666,49.17611665278344,255.5692905699099,735.9922690790756
GSM798487,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,1982.937424865048,161.0348693412838,149.03495309815293,4488.576338848548,252.1995713449865,232.0586213479312,119.00182684899322,407.2507103796134,77.65836279135226,60.57870995885512,833.824317198216,130.62839776929155,42.58698778954472,197.1029380463244,598.4862024104415
GSM798488,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,150.36321293431064,91.58094822630676,197.0659705167281,4513.606922868227,314.0435195803673,393.651186506704,103.45802619948594,254.3241297211973,69.35041018786592,83.56112095022115,506.3458446340275,162.77172279909212,48.604517298764,165.47246612027547,537.4792929887196
GSM798489,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,879.4676721694822,132.25845277286425,134.85015181908418,4459.949558053537,237.56512238303748,261.21207093149,62.640862922789054,150.70785408404063,134.5039232117932,52.5264978985896,739.3760990727858,110.88777861165444,51.80735009809669,217.3124601991139,726.7971843294129
GSM798490,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,741.7536921571058,138.78685471222602,189.1729122824331,4267.923764303429,316.3582135477423,222.93484472242332,54.0147697829919,122.87272867048384,97.7832610633495,61.05503371924232,597.6644342188943,166.2770158106122,42.97435576587946,204.7883258199502,849.1303505084718
GSM798491,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,146.75798441553664,221.49385361058967,150.12613550158264,6993.238505335763,288.2027474691059,307.23014632621084,82.16802582399198,179.49460101138675,62.16309059883851,58.69308502762148,618.7987129898557,205.7499879350597,46.99523200823131,186.84109537408725,1342.9416727903813
GSM798492,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,183.653859359033,113.47633472417364,175.3223842270688,3824.9858443561616,289.07022882290653,260.69507488967963,46.23766012441008,87.01485968465218,218.23548822824137,70.4135779749394,597.1767291799772,140.4780641272342,44.490914733281386,220.1519724943381,996.1418049744912
GSM798493,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,447.827222800861,127.43678037942112,178.3975895426182,2851.8784867312365,253.6722852023697,206.64184032023465,62.97604141768621,117.85909642904215,62.656420250071335,57.8060408278186,482.9696901139724,174.9777826303891,57.59123393979682,258.47841850238444,552.6693955000954
GSM798494,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,145.12026986005222,103.89241335916736,140.23721928037276,4537.4961211925465,276.44475727175245,281.8953323865363,30.56626299525708,132.07290285100652,68.06352982048699,51.35747489533807,667.5548355422981,145.4556979049117,42.41687809914007,120.38649795668238,993.4153950357776
GSM798495,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,837.8319217097894,121.6900842430302,144.28135161049835,2875.7810467008976,272.5483612817549,184.20205671268025,62.23808541786423,141.61033043114557,127.65710145831682,67.3061460610447,782.3231977963609,124.67792173497055,42.10684172816061,213.4514780836832,962.9205681139832
GSM798496,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,957.4907291940634,165.14719303978364,162.73052080564858,4725.820896757959,260.11660563001305,210.1308364300045,92.06683530905022,217.7821686553956,67.03525085064524,62.68261072746898,940.0405431724298,145.29286229601027,45.22369946118037,204.86682685902656,1164.4658024082903
GSM798497,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,181.6629348378549,115.79627066937036,176.43377197395176,3269.901108481934,265.19935919968015,195.5486750512782,28.74361569776288,87.14279185201153,85.48591785451131,52.061465074794384,357.4041969080822,148.9973070389289,51.54435490616898,212.95366178821703,645.8051935791227
GSM798498,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,772.6147357036305,125.99443492008297,253.2062534485364,2633.23613967562,425.7867332804391,202.78943110667544,85.48697336536601,251.1241444187872,61.45105986430416,67.00239421294674,919.5191864618386,227.3658582956507,71.410592965548,260.7271488033508,947.5315499691288
GSM798499,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,845.6539002764976,220.3708516421601,161.59437589239246,2554.1301282008144,262.3613579920847,209.5420900110625,84.13297382639297,334.99938603727645,84.66647281653513,50.701863225571145,1219.3401173305228,150.94836788880264,51.61447673994761,322.111281148022,855.0095809157458
GSM798500,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,395.8822093647761,161.1773287837676,172.70370800293944,2768.2831558090675,303.47564905048483,231.35114692355288,27.431348328682542,168.1044968090765,61.42447930916404,59.36889368299917,974.4580170205312,163.826990254748,55.83511757075544,188.42900889572425,838.7907119315969
GSM798501,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,366.1036929909474,136.38688293469244,277.0589359027187,2918.187248978234,276.976607170805,229.4799227473527,48.299357428552895,181.7405424066092,117.2363719727989,62.80689978568354,463.08535731811,200.6847973823732,44.89186576024036,179.12112258536249,763.8627448406887
GSM798502,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,402.9476882847711,108.29301952056572,194.80847872375256,2513.190865188876,270.1436939172406,282.81920188239013,54.060970224945365,164.6444323338933,66.81194181374914,65.0333437858541,559.1623617941414,154.5687557721219,166.72612991436566,241.84685148864813,743.7016745277863
GSM798503,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,160.1772743154086,168.49940816140634,220.61921480419625,3997.0553278161447,325.97111484415245,260.9287181957721,38.11319181223792,252.65381079163896,66.27726675284764,57.409177149109695,158.90432114878416,355.42851409697,46.59284800677128,249.05799324195075,851.434870434928
GSM798504,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,150.21736356949654,191.821050670644,198.21729224337776,3100.335656807785,300.14058886391206,204.1645554214805,74.80831613376083,141.75058265389902,78.50370362376223,63.25867713391005,748.4285198209221,157.59927926006822,43.549639454213455,271.80370410332466,604.6479722776022
GSM798505,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,306.1310057592591,119.09900391408424,185.49723303004492,2581.871751024742,332.42435277721404,187.4852478114147,46.79130666251302,178.67701720176794,207.11917975967327,62.07106532094296,316.56923243757456,130.68058617897512,42.848609392738446,391.9662259050464,502.8980546293931
GSM798506,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,303.6012967545672,151.74161724856066,204.03158962346475,3425.8290313969137,283.7913832983737,216.4673713021595,29.042131996980988,122.33881148281442,95.52057701542806,52.58617692532434,502.1925304430101,165.26199226381934,66.43168596394824,291.021035745169,400.59175574603
GSM798507,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved,179.16184771488088,224.7945948827655,191.8154982068777,5275.242886041893,254.23621817451647,264.9956617978056,79.08608435778693,160.56344158525656,63.32160646050576,73.720153957955,392.69504501212185,208.5181427930105,65.19101554600847,217.48497844642932,738.7149867322468
