sample_id,cohort,shap_CDH3,shap_DEPDC1B,shap_DGAT2,shap_ITIH1,shap_ITIH4,shap_JADE2,shap_LPAR2,shap_MCF2L2,shap_MCM10,shap_MED17,shap_MTHFD2,shap_OSBPL3,shap_OTC,shap_PACC1,shap_POLQ,shap_PON1,shap_RAD51,shap_SPA17,shap_SPDL1,shap_USH2A,base_value,predicted_label,tumor_probability,prediction_status,genes_imputed
GSM653015,GSE26566,-0.008065448345544558,-0.020223533295284722,-0.034451668663875966,-0.03556110293357514,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,0.025658281455636353,0.024369297329448404,-0.02415535652329737,0.029769934799167796,0.020308940019322784,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.04145878402963318,0.5040994421945802,0,0.272,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653016,GSE26566,-0.008065448345544558,-0.020223533295284722,-0.03445166866387596,-0.03556110293357514,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,-0.026341718544363648,0.024369297329448404,-0.02415535652329737,0.029769934799167796,-0.017691059980677215,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.04145878402963318,0.5040994421945802,0,0.182,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653017,GSE26566,-0.008065448345544558,-0.020223533295284722,-0.03445166866387596,-0.03556110293357513,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,-0.026341718544363648,-0.0236307026705516,-0.024155356523297367,0.029769934799167796,0.020308940019322784,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.041458784029633176,0.5040994421945802,0,0.172,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653018,GSE26566,-0.008065448345544558,-0.020223533295284722,-0.03445166866387596,-0.03556110293357514,-0.019961636771960292,-0.03222582148338304,-0.012656366585177933,-0.026341718544363648,0.024369297329448404,-0.02415535652329737,0.029769934799167796,-0.015691059980677213,-0.03616871113542198,-0.022181575256273952,-0.025308337991462173,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.04145878402963318,0.5040994421945802,0,0.136,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653019,GSE26566,-0.008065448345544558,-0.020223533295284722,-0.034451668663875966,-0.03556110293357513,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,0.025658281455636357,0.024369297329448408,-0.024155356523297367,0.029769934799167796,-0.02169105998067721,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.04145878402963318,0.5040994421945802,0,0.23,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653020,GSE26566,-0.008065448345544558,-0.020223533295284722,-0.03445166866387597,-0.03556110293357513,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,0.025658281455636357,-0.0236307026705516,-0.024155356523297367,0.029769934799167796,-0.02169105998067721,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.041458784029633176,0.5040994421945802,0,0.182,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653021,GSE26566,-0.008065448345544558,-0.02022353329528472,-0.03445166866387597,-0.03556110293357513,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,0.025658281455636357,-0.0236307026705516,-0.024155356523297367,-0.028230065200832218,-0.021691059980677208,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.041458784029633176,0.5040994421945802,0,0.124,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653022,GSE26566,-0.008065448345544558,-0.020223533295284722,-0.03445166866387597,-0.03556110293357513,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,0.025658281455636357,-0.0236307026705516,-0.024155356523297367,0.029769934799167796,0.0063089400193227846,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.041458784029633176,0.5040994421945802,0,0.21,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653023,GSE26566,-0.008065448345544558,-0.020223533295284722,-0.03445166866387597,-0.03556110293357513,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,0.025658281455636353,-0.0236307026705516,-0.024155356523297367,0.029769934799167796,0.020308940019322784,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,0.02998235252017238,0.011515109978286872,-0.02523865991970347,-0.041458784029633176,0.5040994421945802,0,0.28,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653024,GSE26566,-0.008065448345544558,-0.02022353329528472,-0.03445166866387597,-0.03556110293357513,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,0.025658281455636357,-0.0236307026705516,-0.024155356523297367,-0.028230065200832218,-0.021691059980677208,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.041458784029633176,0.5040994421945802,0,0.124,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653025,GSE26566,-0.008065448345544558,-0.020223533295284722,-0.03445166866387596,-0.03556110293357513,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,-0.026341718544363648,-0.0236307026705516,-0.024155356523297367,0.029769934799167796,0.012308940019322784,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.041458784029633176,0.5040994421945802,0,0.164,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653026,GSE26566,-0.008065448345544558,-0.020223533295284722,-0.03445166866387597,-0.03556110293357513,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,0.025658281455636357,-0.0236307026705516,-0.024155356523297367,0.029769934799167796,-0.02169105998067721,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.041458784029633176,0.5040994421945802,0,0.182,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653027,GSE26566,-0.008065448345544558,-0.020223533295284722,-0.03445166866387597,-0.03556110293357513,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,0.025658281455636357,-0.0236307026705516,-0.024155356523297367,0.029769934799167796,-0.02169105998067721,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.041458784029633176,0.5040994421945802,0,0.182,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653028,GSE26566,-0.008065448345544558,-0.020223533295284722,-0.034451668663875966,-0.03556110293357514,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,0.025658281455636353,0.024369297329448404,-0.02415535652329737,0.029769934799167796,0.020308940019322784,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.04145878402963318,0.5040994421945802,0,0.272,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
