column,value,count
title,3998386026_A,1
title,3998386026_B,1
title,3998386026_C,1
title,3998386026_D,1
title,3998386026_E,1
title,3998386026_F,1
title,3998386026_G,1
title,3998386026_H,1
title,3998386026_I,1
title,3998386026_J,1
title,3998386026_K,1
title,3998386026_L,1
title,3998386024_A,1
title,3998386024_B,1
title,3998386024_C,1
title,3998386024_D,1
title,3998386024_E,1
title,3998386024_F,1
title,3998386024_G,1
title,3998386024_H,1
title,3998386024_I,1
title,3998386024_J,1
title,3998386024_K,1
title,3998386024_L,1
title,3998386005_A,1
title,3998386005_B,1
title,3998386005_C,1
title,3998386005_D,1
title,3998386005_E,1
title,3998386005_F,1
title,3998386005_G,1
title,3998386005_H,1
title,3998386005_I,1
title,3998386005_J,1
title,3998386005_K,1
title,3998386005_L,1
title,3998386019_A,1
title,3998386019_B,1
title,3998386019_C,1
title,3998386019_D,1
title,3998386019_E,1
title,3998386019_F,1
title,3998386019_G,1
title,3998386019_H,1
title,3998386019_I,1
title,3998386019_J,1
title,3998386019_K,1
title,3998386019_L,1
title,200647720045_A,1
title,200647720045_B,1
title,200647720045_C,1
title,200647720045_D,1
title,200647720045_E,1
title,200647720045_F,1
title,200647720045_G,1
title,200647720045_H,1
title,200647720045_I,1
title,200647720045_J,1
title,200647720045_K,1
title,200647720045_L,1
title,200643150050_A,1
title,200643150050_B,1
title,200643150050_C,1
title,200643150050_D,1
title,200643150050_E,1
title,200643150050_F,1
title,200643150050_G,1
title,200643150050_H,1
title,200643150050_I,1
title,200643150050_J,1
title,200643150050_K,1
title,200643150050_L,1
title,200647550008_A,1
title,200647550008_B,1
title,200647550008_C,1
title,200647550008_D,1
title,200647550008_E,1
title,200647550008_F,1
title,200647550008_G,1
title,200647550008_H,1
title,200647550008_I,1
title,200647550008_J,1
title,200647550008_K,1
title,200647550008_L,1
title,200739030011_A,1
title,200739030011_B,1
title,200739030011_C,1
title,200739030011_D,1
title,200739030011_E,1
title,200739030011_F,1
title,200739030011_G,1
title,200739030011_H,1
title,200739030011_I,1
title,200739030011_J,1
title,200739030011_K,1
title,200739030011_L,1
title,200643150072_A,1
title,200643150072_B,1
title,200643150072_C,1
title,200643150072_D,1
title,200643150072_E,1
title,200643150072_F,1
title,200643150072_G,1
title,200643150072_H,1
title,200643150072_I,1
title,200643150072_J,1
title,200643150072_K,1
title,200643150072_L,1
title,200643150051_A,1
title,200643150051_B,1
title,200643150051_C,1
title,200643150051_D,1
title,200643150051_E,1
title,200643150051_F,1
title,200643150051_G,1
title,200643150051_H,1
title,200643150051_I,1
title,200643150051_J,1
title,200643150051_K,1
title,200643150051_L,1
source_name_ch1,tumor,118
source_name_ch1,normal,2
characteristics_ch1,tissue: bile duct,120
description,cholangiocarcinoma,118
description,normal bile duct,2
