column,value,count
title,Surrounding liver SL1,1
title,Surrounding liver SL2,1
title,Surrounding liver SL3,1
title,Surrounding liver SL4,1
title,Surrounding liver SL5,1
title,Surrounding liver SL6,1
title,Surrounding liver SL7,1
title,Surrounding liver SL8,1
title,Surrounding liver SL9,1
title,Surrounding liver SL10,1
title,Surrounding liver SL11,1
title,Surrounding liver SL12,1
title,Surrounding liver SL13,1
title,Surrounding liver SL14,1
title,Surrounding liver SL15,1
title,Surrounding liver SL16,1
title,Surrounding liver SL17,1
title,Surrounding liver SL18,1
title,Surrounding liver SL19,1
title,Surrounding liver SL20,1
title,Surrounding liver SL21,1
title,Surrounding liver SL22,1
title,Surrounding liver SL23,1
title,Surrounding liver SL24,1
title,Surrounding liver SL25,1
title,Surrounding liver SL26,1
title,Surrounding liver SL27,1
title,Surrounding liver SL28,1
title,Surrounding liver SL29,1
title,Surrounding liver SL30,1
title,Surrounding liver SL31,1
title,Surrounding liver SL32,1
title,Surrounding liver SL33,1
title,Surrounding liver SL34,1
title,Surrounding liver SL35,1
title,Surrounding liver SL36,1
title,Surrounding liver SL37,1
title,Surrounding liver SL38,1
title,Surrounding liver SL39,1
title,Surrounding liver SL40,1
title,Surrounding liver SL41,1
title,Surrounding liver SL42,1
title,Surrounding liver SL43,1
title,Surrounding liver SL44,1
title,Surrounding liver SL45,1
title,Surrounding liver SL46,1
title,Surrounding liver SL47,1
title,Surrounding liver SL48,1
title,Surrounding liver SL49,1
title,Surrounding liver SL50,1
title,Surrounding liver SL51,1
title,Surrounding liver SL52,1
title,Surrounding liver SL53,1
title,Surrounding liver SL54,1
title,Surrounding liver SL55,1
title,Surrounding liver SL56,1
title,Surrounding liver SL57,1
title,Surrounding liver SL58,1
title,Surrounding liver SL59,1
title,Cholangiocarcinoma Tumor 1,1
title,Cholangiocarcinoma Tumor 2,1
title,Cholangiocarcinoma Tumor 3,1
title,Cholangiocarcinoma Tumor 4,1
title,Cholangiocarcinoma Tumor 5,1
title,Cholangiocarcinoma Tumor 6,1
title,Cholangiocarcinoma Tumor 7,1
title,Cholangiocarcinoma Tumor 8,1
title,Cholangiocarcinoma Tumor 9,1
title,Cholangiocarcinoma Tumor 10,1
title,Cholangiocarcinoma Tumor 11,1
title,Cholangiocarcinoma Tumor 12,1
title,Cholangiocarcinoma Tumor 13,1
title,Cholangiocarcinoma Tumor 14,1
title,Cholangiocarcinoma Tumor 15,1
title,Cholangiocarcinoma Tumor 16,1
title,Cholangiocarcinoma Tumor 17,1
title,Cholangiocarcinoma Tumor 18,1
title,Cholangiocarcinoma Tumor 19,1
title,Cholangiocarcinoma Tumor 20,1
title,Cholangiocarcinoma Tumor 21,1
title,Cholangiocarcinoma Tumor 22,1
title,Cholangiocarcinoma Tumor 23,1
title,Cholangiocarcinoma Tumor 24,1
title,Cholangiocarcinoma Tumor 25,1
title,Cholangiocarcinoma Tumor 26,1
title,Cholangiocarcinoma Tumor 27,1
title,Cholangiocarcinoma Tumor 28,1
title,Cholangiocarcinoma Tumor 29,1
title,Cholangiocarcinoma Tumor 30,1
title,Cholangiocarcinoma Tumor 31,1
title,Cholangiocarcinoma Tumor 32,1
title,Cholangiocarcinoma Tumor 33,1
title,Cholangiocarcinoma Tumor 34,1
title,Cholangiocarcinoma Tumor 35,1
title,Cholangiocarcinoma Tumor 36,1
title,Cholangiocarcinoma Tumor 37,1
title,Cholangiocarcinoma Tumor 38,1
title,Cholangiocarcinoma Tumor 39,1
title,Cholangiocarcinoma Tumor 40,1
title,Cholangiocarcinoma Tumor 41,1
title,Cholangiocarcinoma Tumor 42,1
title,Cholangiocarcinoma Tumor 43,1
title,Cholangiocarcinoma Tumor 44,1
title,Cholangiocarcinoma Tumor 45,1
title,Cholangiocarcinoma Tumor 46,1
title,Cholangiocarcinoma Tumor 47,1
title,Cholangiocarcinoma Tumor 48,1
title,Cholangiocarcinoma Tumor 49,1
title,Cholangiocarcinoma Tumor 50,1
title,Cholangiocarcinoma Tumor 51,1
title,Cholangiocarcinoma Tumor 52,1
title,Cholangiocarcinoma Tumor 53,1
title,Cholangiocarcinoma Tumor 54,1
title,Cholangiocarcinoma Tumor 55,1
title,Cholangiocarcinoma Tumor 56,1
title,Cholangiocarcinoma Tumor 57,1
title,Cholangiocarcinoma Tumor 58,1
title,Cholangiocarcinoma Tumor 59,1
title,Cholangiocarcinoma Tumor 60,1
title,Cholangiocarcinoma Tumor 61,1
title,Cholangiocarcinoma Tumor 62,1
title,Cholangiocarcinoma Tumor 63,1
title,Cholangiocarcinoma Tumor 64,1
title,Cholangiocarcinoma Tumor 65,1
title,Cholangiocarcinoma Tumor 66,1
title,Cholangiocarcinoma Tumor 67,1
title,Cholangiocarcinoma Tumor 68,1
title,Cholangiocarcinoma Tumor 69,1
title,Cholangiocarcinoma Tumor 70,1
title,Cholangiocarcinoma Tumor 71,1
title,Cholangiocarcinoma Tumor 72,1
title,Cholangiocarcinoma Tumor 73,1
title,Cholangiocarcinoma Tumor 74,1
title,Cholangiocarcinoma Tumor 75,1
title,Cholangiocarcinoma Tumor 76,1
title,Cholangiocarcinoma Tumor 77,1
title,Cholangiocarcinoma Tumor 78,1
title,Cholangiocarcinoma Tumor 79,1
title,Cholangiocarcinoma Tumor 80,1
title,Cholangiocarcinoma Tumor 81,1
title,Cholangiocarcinoma Tumor 82,1
title,Cholangiocarcinoma Tumor 83,1
title,Cholangiocarcinoma Tumor 84,1
title,Cholangiocarcinoma Tumor 85,1
title,Cholangiocarcinoma Tumor 86,1
title,Cholangiocarcinoma Tumor 87,1
title,Cholangiocarcinoma Tumor 88,1
title,Cholangiocarcinoma Tumor 89,1
title,Cholangiocarcinoma Tumor 90,1
title,Cholangiocarcinoma Tumor 91,1
title,Cholangiocarcinoma Tumor 92,1
title,Cholangiocarcinoma Tumor 93,1
title,Cholangiocarcinoma Tumor 94,1
title,Cholangiocarcinoma Tumor 95,1
title,Cholangiocarcinoma Tumor 96,1
