column,value,count
title,Cholangiocarcinoma Tumor 97,1
title,Cholangiocarcinoma Tumor 98,1
title,Cholangiocarcinoma Tumor 99,1
title,Cholangiocarcinoma Tumor 100,1
title,Cholangiocarcinoma Tumor 101,1
title,Cholangiocarcinoma Tumor 102,1
title,Cholangiocarcinoma Tumor 103,1
title,Cholangiocarcinoma Tumor 104,1
title,Normal intrahepatic bile duct 1,1
title,Normal intrahepatic bile duct 2,1
title,Normal intrahepatic bile duct 3,1
title,Normal intrahepatic bile duct 4,1
title,Normal intrahepatic bile duct 5,1
title,Normal intrahepatic bile duct 6,1
source_name_ch1,Surrounding liver SL1,1
source_name_ch1,Surrounding liver SL2,1
source_name_ch1,Surrounding liver SL3,1
source_name_ch1,Surrounding liver SL4,1
source_name_ch1,Surrounding liver SL5,1
source_name_ch1,Surrounding liver SL6,1
source_name_ch1,Surrounding liver SL7,1
source_name_ch1,Surrounding liver SL8,1
source_name_ch1,Surrounding liver SL9,1
source_name_ch1,Surrounding liver SL10,1
source_name_ch1,Surrounding liver SL11,1
source_name_ch1,Surrounding liver SL12,1
source_name_ch1,Surrounding liver SL13,1
source_name_ch1,Surrounding liver SL14,1
source_name_ch1,Surrounding liver SL15,1
source_name_ch1,Surrounding liver SL16,1
source_name_ch1,Surrounding liver SL17,1
source_name_ch1,Surrounding liver SL18,1
source_name_ch1,Surrounding liver SL19,1
source_name_ch1,Surrounding liver SL20,1
source_name_ch1,Surrounding liver SL21,1
source_name_ch1,Surrounding liver SL22,1
source_name_ch1,Surrounding liver SL23,1
source_name_ch1,Surrounding liver SL24,1
source_name_ch1,Surrounding liver SL25,1
source_name_ch1,Surrounding liver SL26,1
source_name_ch1,Surrounding liver SL27,1
source_name_ch1,Surrounding liver SL28,1
source_name_ch1,Surrounding liver SL29,1
source_name_ch1,Surrounding liver SL30,1
source_name_ch1,Surrounding liver SL31,1
source_name_ch1,Surrounding liver SL32,1
source_name_ch1,Surrounding liver SL33,1
source_name_ch1,Surrounding liver SL34,1
source_name_ch1,Surrounding liver SL35,1
source_name_ch1,Surrounding liver SL36,1
source_name_ch1,Surrounding liver SL37,1
source_name_ch1,Surrounding liver SL38,1
source_name_ch1,Surrounding liver SL39,1
source_name_ch1,Surrounding liver SL40,1
source_name_ch1,Surrounding liver SL41,1
source_name_ch1,Surrounding liver SL42,1
source_name_ch1,Surrounding liver SL43,1
source_name_ch1,Surrounding liver SL44,1
source_name_ch1,Surrounding liver SL45,1
source_name_ch1,Surrounding liver SL46,1
source_name_ch1,Surrounding liver SL47,1
source_name_ch1,Surrounding liver SL48,1
source_name_ch1,Surrounding liver SL49,1
source_name_ch1,Surrounding liver SL50,1
source_name_ch1,Surrounding liver SL51,1
source_name_ch1,Surrounding liver SL52,1
source_name_ch1,Surrounding liver SL53,1
source_name_ch1,Surrounding liver SL54,1
source_name_ch1,Surrounding liver SL55,1
source_name_ch1,Surrounding liver SL56,1
source_name_ch1,Surrounding liver SL57,1
source_name_ch1,Surrounding liver SL58,1
source_name_ch1,Surrounding liver SL59,1
source_name_ch1,Cholangiocarcinoma Tumor1,1
source_name_ch1,Cholangiocarcinoma Tumor2,1
source_name_ch1,Cholangiocarcinoma Tumor3,1
source_name_ch1,Cholangiocarcinoma Tumor4,1
source_name_ch1,Cholangiocarcinoma Tumor5,1
source_name_ch1,Cholangiocarcinoma Tumor6,1
source_name_ch1,Cholangiocarcinoma Tumor7,1
source_name_ch1,Cholangiocarcinoma Tumor8,1
source_name_ch1,Cholangiocarcinoma Tumor9,1
source_name_ch1,Cholangiocarcinoma Tumor10,1
source_name_ch1,Cholangiocarcinoma Tumor11,1
source_name_ch1,Cholangiocarcinoma Tumor12,1
source_name_ch1,Cholangiocarcinoma Tumor13,1
source_name_ch1,Cholangiocarcinoma Tumor14,1
source_name_ch1,Cholangiocarcinoma Tumor15,1
source_name_ch1,Cholangiocarcinoma Tumor16,1
source_name_ch1,Cholangiocarcinoma Tumor17,1
source_name_ch1,Cholangiocarcinoma Tumor18,1
source_name_ch1,Cholangiocarcinoma Tumor19,1
source_name_ch1,Cholangiocarcinoma Tumor20,1
source_name_ch1,Cholangiocarcinoma Tumor21,1
source_name_ch1,Cholangiocarcinoma Tumor22,1
source_name_ch1,Cholangiocarcinoma Tumor23,1
source_name_ch1,Cholangiocarcinoma Tumor24,1
source_name_ch1,Cholangiocarcinoma Tumor25,1
source_name_ch1,Cholangiocarcinoma Tumor26,1
source_name_ch1,Cholangiocarcinoma Tumor27,1
source_name_ch1,Cholangiocarcinoma Tumor28,1
source_name_ch1,Cholangiocarcinoma Tumor29,1
source_name_ch1,Cholangiocarcinoma Tumor30,1
source_name_ch1,Cholangiocarcinoma Tumor31,1
source_name_ch1,Cholangiocarcinoma Tumor32,1
source_name_ch1,Cholangiocarcinoma Tumor33,1
source_name_ch1,Cholangiocarcinoma Tumor34,1
source_name_ch1,Cholangiocarcinoma Tumor35,1
source_name_ch1,Cholangiocarcinoma Tumor36,1
source_name_ch1,Cholangiocarcinoma Tumor37,1
source_name_ch1,Cholangiocarcinoma Tumor38,1
source_name_ch1,Cholangiocarcinoma Tumor39,1
source_name_ch1,Cholangiocarcinoma Tumor40,1
source_name_ch1,Cholangiocarcinoma Tumor41,1
source_name_ch1,Cholangiocarcinoma Tumor42,1
source_name_ch1,Cholangiocarcinoma Tumor43,1
source_name_ch1,Cholangiocarcinoma Tumor44,1
source_name_ch1,Cholangiocarcinoma Tumor45,1
source_name_ch1,Cholangiocarcinoma Tumor46,1
source_name_ch1,Cholangiocarcinoma Tumor47,1
source_name_ch1,Cholangiocarcinoma Tumor48,1
source_name_ch1,Cholangiocarcinoma Tumor49,1
source_name_ch1,Cholangiocarcinoma Tumor50,1
source_name_ch1,Cholangiocarcinoma Tumor51,1
source_name_ch1,Cholangiocarcinoma Tumor52,1
source_name_ch1,Cholangiocarcinoma Tumor53,1
source_name_ch1,Cholangiocarcinoma Tumor54,1
source_name_ch1,Cholangiocarcinoma Tumor55,1
source_name_ch1,Cholangiocarcinoma Tumor56,1
source_name_ch1,Cholangiocarcinoma Tumor57,1
source_name_ch1,Cholangiocarcinoma Tumor58,1
source_name_ch1,Cholangiocarcinoma Tumor59,1
source_name_ch1,Cholangiocarcinoma Tumor60,1
source_name_ch1,Cholangiocarcinoma Tumor61,1
source_name_ch1,Cholangiocarcinoma Tumor62,1
source_name_ch1,Cholangiocarcinoma Tumor63,1
source_name_ch1,Cholangiocarcinoma Tumor64,1
source_name_ch1,Cholangiocarcinoma Tumor65,1
source_name_ch1,Cholangiocarcinoma Tumor66,1
source_name_ch1,Cholangiocarcinoma Tumor67,1
source_name_ch1,Cholangiocarcinoma Tumor68,1
source_name_ch1,Cholangiocarcinoma Tumor69,1
source_name_ch1,Cholangiocarcinoma Tumor70,1
source_name_ch1,Cholangiocarcinoma Tumor71,1
source_name_ch1,Cholangiocarcinoma Tumor72,1
source_name_ch1,Cholangiocarcinoma Tumor73,1
source_name_ch1,Cholangiocarcinoma Tumor74,1
source_name_ch1,Cholangiocarcinoma Tumor75,1
source_name_ch1,Cholangiocarcinoma Tumor76,1
source_name_ch1,Cholangiocarcinoma Tumor77,1
source_name_ch1,Cholangiocarcinoma Tumor78,1
source_name_ch1,Cholangiocarcinoma Tumor79,1
source_name_ch1,Cholangiocarcinoma Tumor80,1
source_name_ch1,Cholangiocarcinoma Tumor81,1
source_name_ch1,Cholangiocarcinoma Tumor82,1
source_name_ch1,Cholangiocarcinoma Tumor83,1
source_name_ch1,Cholangiocarcinoma Tumor84,1
source_name_ch1,Cholangiocarcinoma Tumor85,1
source_name_ch1,Cholangiocarcinoma Tumor86,1
source_name_ch1,Cholangiocarcinoma Tumor87,1
source_name_ch1,Cholangiocarcinoma Tumor88,1
source_name_ch1,Cholangiocarcinoma Tumor89,1
source_name_ch1,Cholangiocarcinoma Tumor90,1
source_name_ch1,Cholangiocarcinoma Tumor91,1
source_name_ch1,Cholangiocarcinoma Tumor92,1
source_name_ch1,Cholangiocarcinoma Tumor93,1
source_name_ch1,Cholangiocarcinoma Tumor94,1
source_name_ch1,Cholangiocarcinoma Tumor95,1
source_name_ch1,Cholangiocarcinoma Tumor96,1
source_name_ch1,Cholangiocarcinoma Tumor97,1
source_name_ch1,Cholangiocarcinoma Tumor98,1
source_name_ch1,Cholangiocarcinoma Tumor99,1
source_name_ch1,Cholangiocarcinoma Tumor100,1
source_name_ch1,Cholangiocarcinoma Tumor101,1
source_name_ch1,Cholangiocarcinoma Tumor102,1
source_name_ch1,Cholangiocarcinoma Tumor103,1
source_name_ch1,Cholangiocarcinoma Tumor104,1
source_name_ch1,Normal intrahepatic bile duct 1,1
source_name_ch1,Normal intrahepatic bile duct 2,1
source_name_ch1,Normal intrahepatic bile duct 3,1
source_name_ch1,Normal intrahepatic bile duct 4,1
source_name_ch1,Normal intrahepatic bile duct 5,1
source_name_ch1,Normal intrahepatic bile duct 6,1
characteristics_ch1,sample id: LEC1 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC2 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC3 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC4 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC5 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC6 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC7 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC8 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC9 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC10 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC11 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC12 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC13 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC14 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC15 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC16 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC17 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC18 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC19 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC20 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC21 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC22 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC23 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC24 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC25 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC26 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC27 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC28 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC29 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC30 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC31 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC32 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC33 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC34 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC35 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC36 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC37 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC38 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC39 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC40 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC41 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC42 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC43 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC44 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC45 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC46 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC47 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC48 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC49 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC50 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC51 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC52 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC53 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC54 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC55 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC56 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC57 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC58 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC59 | tissue: Surrounding liver,1
characteristics_ch1,sample id: LEC60 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC61 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC62 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC63 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC64 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC65 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC66 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC67 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC68 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC69 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC70 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC71 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC72 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC73 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC74 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC75 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC76 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC77 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC78 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC79 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC80 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC81 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC82 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC83 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC84 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC85 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC86 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC87 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC88 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC89 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC90 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC91 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC92 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC93 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC94 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC95 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC96 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC97 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC98 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC99 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC100 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC101 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC102 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC103 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC104 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC105 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC106 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC107 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC108 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC109 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC110 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC111 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC112 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC113 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC114 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC115 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC116 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC117 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC118 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC119 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC120 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC121 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC122 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC123 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC124 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC125 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC126 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC127 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC128 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC129 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC130 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC131 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC132 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC133 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC134 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC135 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC136 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC137 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC138 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC139 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC140 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC141 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC142 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC143 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC144 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC145 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC146 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC147 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC148 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC149 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC150 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC151 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC152 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC153 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC154 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC155 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC156 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC157 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC158 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC159 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC160 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC161 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC162 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC163 | tissue: Cholangiocarcinoma,1
characteristics_ch1,sample id: LEC164 | tissue: Normal intrahepatic bile duct,1
characteristics_ch1,sample id: LEC165 | tissue: Normal intrahepatic bile duct,1
characteristics_ch1,sample id: LEC166 | tissue: Normal intrahepatic bile duct,1
characteristics_ch1,sample id: LEC167 | tissue: Normal intrahepatic bile duct,1
characteristics_ch1,sample id: LEC168 | tissue: Normal intrahepatic bile duct,1
characteristics_ch1,sample id: LEC169 | tissue: Normal intrahepatic bile duct,1
description,matched,59
description,patient1,1
description,patient2,1
description,patient3,1
description,patient4,1
description,patient5,1
description,patient6,1
description,patient7,1
description,patient8,1
description,patient9,1
description,patient10,1
description,patient11,1
description,patient12,1
description,patient13,1
description,patient14,1
description,patient15,1
description,patient16,1
description,patient17,1
description,patient18,1
description,patient19,1
description,patient20,1
description,patient21,1
description,patient22,1
description,patient23,1
description,patient24,1
description,patient25,1
description,patient26,1
description,patient27,1
description,patient28,1
description,patient29,1
description,patient30,1
description,patient31,1
description,patient32,1
description,patient33,1
description,patient34,1
description,patient35,1
description,patient36,1
description,patient37,1
description,patient38,1
description,patient39,1
description,patient40,1
description,patient41,1
description,patient42,1
description,patient43,1
description,patient44,1
description,patient45,1
description,patient46,1
description,patient47,1
description,patient48,1
description,patient49,1
description,patient50,1
description,patient51,1
description,patient52,1
description,patient53,1
description,patient54,1
description,patient55,1
description,patient56,1
