gene_name,ensembl_id,disease_name,disease_id,association_score
PON1,ENSG00000005421,amyotrophic lateral sclerosis,MONDO_0004976,0.40915739095301323
PON1,ENSG00000005421,diabetic retinopathy,MONDO_0005266,0.3767858312196307
PON1,ENSG00000005421,atopic eczema,MONDO_0004980,0.33721092299517397
PON1,ENSG00000005421,obesity disorder,MONDO_0011122,0.3130374486059839
PON1,ENSG00000005421,idiopathic pulmonary fibrosis,EFO_0000768,0.24042446517276214
RAD51,ENSG00000051180,Fanconi anemia complementation group R,MONDO_0014986,0.7410750821077937
RAD51,ENSG00000051180,Fanconi anemia,MONDO_0019391,0.625543242641039
RAD51,ENSG00000051180,mirror movements 2,MONDO_0013790,0.6183019638339687
RAD51,ENSG00000051180,cancer,MONDO_0004992,0.5551304126323588
RAD51,ENSG00000051180,breast cancer,MONDO_0007254,0.4749742272816723
SPA17,ENSG00000064199,neurodegenerative disease,MONDO_0005559,0.224503315085698
SPA17,ENSG00000064199,irritable bowel syndrome,MONDO_0005052,0.1940660485861106
SPA17,ENSG00000064199,Romano-Ward syndrome,Orphanet_101016,0.08460924867366708
SPA17,ENSG00000064199,familial long QT syndrome,MONDO_0019171,0.08302123795405784
SPA17,ENSG00000064199,cancer,MONDO_0004992,0.07746062724616291
SPDL1,ENSG00000040275,idiopathic pulmonary fibrosis,EFO_0000768,0.5150105462692716
SPDL1,ENSG00000040275,hypothyroidism,MONDO_0005420,0.4997355271851739
SPDL1,ENSG00000040275,interstitial lung disease,MONDO_0015925,0.4839416308659318
SPDL1,ENSG00000040275,prostate carcinoma,MONDO_0005159,0.48345543525175605
SPDL1,ENSG00000040275,renal carcinoma,MONDO_0005206,0.4470545810285464
USH2A,ENSG00000042781,Usher syndrome type 2A,MONDO_0010169,0.8397025026070053
USH2A,ENSG00000042781,retinitis pigmentosa,MONDO_0019200,0.8376052418002496
USH2A,ENSG00000042781,Usher syndrome,MONDO_0019501,0.7499826159022266
USH2A,ENSG00000042781,Usher syndrome type 2,MONDO_0016484,0.736448187018066
USH2A,ENSG00000042781,Retinal dystrophy,HP_0000556,0.6218940258434382
